,year,month,state,Mental_Health_Records_Submitted_2008,Mental_Health_Records_Submitted_2017,Gun_Sale_Denials_2008,Gun_Sale_Denials_2017,Giffords Gun Safety Score,Gun Deaths per 100k People (2018),Gun Death Rate (Ranked High to Low),Rank,# of guns per capita,# of guns registered,Permit Type,Handgun_Carry_Permit_Fee,Years_Valid,5_Year_Cost,Happiness Score,n_incidents
118568,2015,1,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,61
118629,2015,2,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,56
118685,2015,3,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,66
118751,2015,4,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,56
118807,2015,5,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,71
118878,2015,6,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,59
118937,2015,7,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,75
119012,2015,8,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,62
119074,2015,9,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,59
119133,2015,10,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,82
119215,2015,11,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,63
119278,2015,12,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,68
119346,2016,1,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,90
119436,2016,2,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,62
119498,2016,3,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,79
119577,2016,4,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,87
119664,2016,5,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,82
119746,2016,6,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,72
119818,2016,7,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,81
119899,2016,8,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,59
119958,2016,9,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,88
120046,2016,10,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,76
120122,2016,11,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,82
120204,2016,12,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,79
120283,2017,1,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,80
120363,2017,2,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,70
120433,2017,3,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,89
120522,2017,4,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,98
120620,2017,5,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,93
120713,2017,6,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,107
120820,2017,7,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,95
120915,2017,8,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,117
121032,2017,9,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,99
121131,2017,10,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,91
121222,2017,11,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,104
121326,2017,12,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,90
121416,2018,1,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,96
121512,2018,2,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,80
121592,2018,3,Alabama,155,5036,32,125,F,22.9,2.0,7,0.033,161641,Concealed handgun permit,25.0,5,25,4,84
130836,2014,1,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,6
130842,2014,2,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,5
130847,2014,3,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,4
130851,2014,4,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,6
130857,2014,5,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,5
130862,2014,6,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,6
130868,2014,7,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,4
130872,2014,8,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,5
130877,2014,9,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,10
130887,2014,10,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,3
130890,2014,11,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,3
130893,2014,12,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,7
130900,2015,1,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,15
130915,2015,2,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,12
130927,2015,3,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,16
130943,2015,4,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,5
130948,2015,5,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,13
130961,2015,6,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,10
130971,2015,7,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,7
130978,2015,8,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,12
130990,2015,9,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,7
130997,2015,10,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,10
131007,2015,11,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,8
131015,2015,12,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,9
131024,2016,1,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,15
131039,2016,2,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,11
131050,2016,3,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,8
131058,2016,4,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,11
131069,2016,5,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,10
131079,2016,6,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,14
131093,2016,7,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,23
131116,2016,8,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,11
131127,2016,9,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,12
131139,2016,10,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,6
131145,2016,11,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,7
131152,2016,12,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,14
131166,2017,1,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,9
131175,2017,2,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,12
131187,2017,3,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,7
131194,2017,4,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,15
131209,2017,5,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,13
131222,2017,6,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,10
131232,2017,7,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,5
131237,2017,8,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,8
131245,2017,9,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,5
131250,2017,10,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,7
131257,2017,11,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,11
131268,2017,12,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,18
131286,2018,1,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,8
131294,2018,2,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,3
131297,2018,3,Alaska,0,267,11,19,F,24.5,1.0,18,0.021,15824,Constitutional carry/permit available for reciprocity,87.0,5,87,2,7
96375,2014,1,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,26
96401,2014,2,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,27
96428,2014,3,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,30
96458,2014,4,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,32
96490,2014,5,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,29
96519,2014,6,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,24
96543,2014,7,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,37
96580,2014,8,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,26
96606,2014,9,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,42
96648,2014,10,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,26
96674,2014,11,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,18
96692,2014,12,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,34
96726,2015,1,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,19
96745,2015,2,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,23
96768,2015,3,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,36
96804,2015,4,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,28
96832,2015,5,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,32
96864,2015,6,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,16
96880,2015,7,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,25
96905,2015,8,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,33
96938,2015,9,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,29
96967,2015,10,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,29
96996,2015,11,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,17
97013,2015,12,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,33
97046,2016,1,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,32
97078,2016,2,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,31
97109,2016,3,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,33
97142,2016,4,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,27
97169,2016,5,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,33
97202,2016,6,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,32
97234,2016,7,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,45
97279,2016,8,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,53
97332,2016,9,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,35
97367,2016,10,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,37
97404,2016,11,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,27
97431,2016,12,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,31
97462,2017,1,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,41
97503,2017,2,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,17
97520,2017,3,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,24
97544,2017,4,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,35
97579,2017,5,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,45
97624,2017,6,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,35
97659,2017,7,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,51
97710,2017,8,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,38
97748,2017,9,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,34
97782,2017,10,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,44
97826,2017,11,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,42
97868,2017,12,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,39
97907,2018,1,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,44
97951,2018,2,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,31
97982,2018,3,Arizona,1496,30741,43,196,F,15.7,18.0,11,0.026,179738,Constitutional carry/permit available for reciprocity,60.0,5,60,9,37
131304,2014,1,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,30
131334,2014,2,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,23
131357,2014,3,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,23
131380,2014,4,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,20
131400,2014,5,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,28
131428,2014,6,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,20
131448,2014,7,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,26
131474,2014,8,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,31
131505,2014,9,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,29
131534,2014,10,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,29
131563,2014,11,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,12
131575,2014,12,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,32
131607,2015,1,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,31
131638,2015,2,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,19
131657,2015,3,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,18
131675,2015,4,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,23
131698,2015,5,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,33
131731,2015,6,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,31
131762,2015,7,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,37
131799,2015,8,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,24
131823,2015,9,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,34
131857,2015,10,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,20
131877,2015,11,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,26
131903,2015,12,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,28
131931,2016,1,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,39
131970,2016,2,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,20
131990,2016,3,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,30
132020,2016,4,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,29
132049,2016,5,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,31
132080,2016,6,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,40
132120,2016,7,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,32
132152,2016,8,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,35
132187,2016,9,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,29
132216,2016,10,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,36
132252,2016,11,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,31
132283,2016,12,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,44
132327,2017,1,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,39
132366,2017,2,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,39
132405,2017,3,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,53
132458,2017,4,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,42
132500,2017,5,Arkansas,733,3757,23,128,F,20.2,7.0,9,0.027000000000000003,79841,Constitutional carry/permit available for reciprocity,135.0,5,137,2,49
