Law ID,State,State Postal Abbreviation,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Confirmation Code
AL1012,Alabama,AL,Minimum purchase and sale age - handguns,Restrictive,Implement,10/1/2015,,10,1,2015,Ala. Code § 13A-11-72,"No person who is a minor, except under the circumstances provided in this section, a drug addict, or an habitual drunkard shall own a pistol or have one in his or her possession or under his or her control.",,18,,Restricted to pistols only.,,
AL1013,Alabama,AL,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
AL1014,Alabama,AL,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
AL1015,Alabama,AL,Registration - handguns,Restrictive,Implement,10/1/1936,,10,1,1936,"Ala. Code §§ 13A-11-79, 40-12-143","§ 13A-11-79 ... A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the Secretary of
State and shall be personally signed by the purchaser and by the person effecting the sale, the caliber, make, model and
manufacturer's number of the weapon, the name, address, occupation, color and place of birth of purchaser and a
statement signed by the purchaser that he has never been convicted in this state or elsewhere of a crime of violence. One
copy shall be sent within six hours by registered or certified mail to the chief of police of the municipality or the sheriff
of the county of which the dealer is a resident; the dealer shall within seven days send the duplicate to the Secretary of
State; and the dealer shall retain the triplicate for six years. ...",1,,,,,
AL1016,Alabama,AL,Registration - handguns,Permissive,Repeal,9/1/2015,,9,1,2015,Ala. Code § 13A-11-79(b),"(b) All records of pistol, revolver, or maxim silencer sales that are maintained or in the custody of dealers, the chief
of police, the sheriff, or the Secretary of State pursuant to this section or Section 40-12-143, including any records or
databases compiled as a result of or based on the records or information so maintained or received, shall be permanently
removed and destroyed without reproduction of the removed documents no later than February 28, 2016. This section
does not apply to any record necessary for an active investigation or ongoing prosecution.",,,,,,
AL1017,Alabama,AL,Registration - long guns,,,,,,,,,No law requiring registration of long guns,1,,,,,
AL1018,Alabama,AL,Waiting period - handguns,Restrictive,Implement,9/11/1951,,9,11,1951,"Act. No. 784, § 179 (1950)",No seller shall deliver a pistol to the purchaser thereof until forty-eight hours shall have elapsed.,1,,2,,,
AL1019,Alabama,AL,Waiting period - handguns,Permissive,Repeal,8/1/2000,,8,1,2000,Code of Ala. § 13A-11-77,Repealed.,,,,,,G
AK1001,Alaska,AK,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
AK1002,Alaska,AK,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,1/1/1978,See additional notes and comments about this date,1,1,1978,Alaska Stat. § 11.55.010,"It is unlawful for a person to carry concealed about his person, in any manner, [enumerated weapons].",1,,,"Prior law prohibting concealed carry enacted before 1966. Carl Bakal, ""The Right to Bear Arms."". Replaced by  § 11.61.220 in 1978, which says ""a person commits the crime of misconduct involving weapons in the third degree if he‚…knowingly possesses a deadly weapon other than an ordinary pocket knife, that is concealed on his person.",,
AK1003,Alaska,AK,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,10/1/1994,,10,1,1994,Permit rules described in Alaska Stat. § 18.65.700 et seq.,"Sec. 18.65.700. Permit to carry a concealed handgun
(a) The department shall issue a permit to carry a concealed handgun to a person who
(1) applies in person at an office of the Alaska State Troopers;
(2) qualifies under AS 18.65.705;
(3) submits on an application form approved by the department the information required under AS 18.65.705 and
18.65.710; the department shall post on the department's website the state laws and regulations relating to concealed
handguns, which must include a concise summary of where, when, and by whom a handgun can be carried under state
and federal law and shall, on request, mail a copy of the regulations and summary to an applicant or permittee;
(4) submits one complete set of fingerprints in the format approved by the department that is of sufficient quality
so that the fingerprints may be processed; the fingerprints must be taken by a person, group, or agency approved by the
department; the department shall maintain a list of persons, groups, or agencies approved to take fingerprints and shall
provide the list to the public upon request; the fingerprints shall be used to obtain a report of criminal justice
information under AS 12.62 and a national criminal history record check under AS 12.62.400;
(5) submits evidence of successful completion of a handgun course as provided in AS 18.65.715;
(6) provides one frontal view color photograph of the person taken within the preceding 30 days that includes the
head and shoulders of the person and is of a size specified by the department;
(7) shows a valid Alaska driver's license or identification card at the time of application;
(8) does not suffer a physical infirmity that prevents the safe handling of a handgun; and
(9) pays the application fee required by AS 18.65.720.",,,,,,
AK1004,Alaska,AK,Carrying a concealed weapon (CCW) - shall issue (permit not required),Permissive,Modify,9/9/2003,,9,9,2003,Permit-less CCW allowed through change to Alaska Stat. § 11.61.220; Permit rules described in Alaska Stat. § 18.65.700 et seq.,"§ 11.61.220(a) A person commits the crime of misconduct involving weapons in the fifth degree if the person
(1) is 21 years of age or older and knowingly possesses a deadly weapon, other than an ordinary pocket knife or a
defensive weapon,
(A) that is concealed on the person, and, when contacted by a peace officer, the person fails to
(i) immediately inform the peace officer of that possession; or
(ii) allow the peace officer to secure the deadly weapon, or fails to secure the weapon at the direction of the
peace officer, during the duration of the contact;
(B) that is concealed on the person within the residence of another person unless the person has first obtained
the express permission of an adult residing there to bring a concealed deadly weapon within the residence;
(2) knowingly possesses a loaded firearm on the person in any place where intoxicating liquor is sold for
consumption on the premises; ...",,,,"Permitting system maintained for residents seeking reciprocity with other states or ""those who seek to be exempt from background checks when purchasing additional firearms"" (""Concealed Weapons Permitting,"" Giffords Law Center to Prevent Gun Violence, undated).",,
AK1005,Alaska,AK,Castle Doctrine,Permissive,Implement,1/1/1978,"Not sure about day + month, so using January 1.",1,1,1978,"SLA 1978, Ch. 166, § 10","b) A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others the person can avoid the necessity of using deadly force entreating, except there is no duty to leave the area retreat if the person is
(1) on premises
(A) which the person owns or leases;",1,,,See 2006 S.B. No. 200 Ch. 68.,,
AK1006,Alaska,AK,Castle Doctrine - Stand Your Ground,Permissive,Modify,9/13/2006,,9,13,2006,Ak. Stat. Ann. § 11.81.335,"A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others being defended, the person can avoid the necessity of using deadly force by leaving the area of the encounter, except there is no duty to leave the area if the person is (1) on premises (A) that the person owns or leases; (B) where the person resides, temporarily or permanently; or (C) as a guest or express or implied agent of the owner, lessor, or resident; (2) a peace officer acting within the scope and authority of the officer's employment or a person assisting a peace officer under AS 11.81.380;
(3) in a building where the person works in the ordinary course of the person's employment;
(4) protecting a child or a member of the person's household; or
(5) in any other place where the person has a right to be",,,,,,
AK1007,Alaska,AK,Child access law,,,,,,,,,No CAP law,1,,,,,
AK1008,Alaska,AK,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
AK1009,Alaska,AK,Minimum age for youth possession - handguns and long guns,Restrictive,Implement,1/1/1980,,1,1,1980,Alaska Stat. § 11.61.220(a)(3),"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",,16,,,,
AK1010,Alaska,AK,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
AK1011,Alaska,AK,Minimum purchase and sale age - handguns and long guns,Restrictive,Implement,9/14/1992,,9,14,1992,Alaska Stat. § 11.61.210,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,,18,,,,
AK1012,Alaska,AK,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
AK1013,Alaska,AK,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
AK1014,Alaska,AK,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
AZ1001,Arizona,AZ,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
AZ1002,Arizona,AZ,Background checks for sales from dealers - handguns,Restrictive,Implement,4/19/1994,,4,19,1994,Ariz. Rev. Stat. § 13-3114,"
If the Brady Handgun Violence Protection Act (P.L. 103-159) is repealed or if there is a final determination by a court of competent jurisdiction that the Brady Handgun Violence Protection Act is unconstitutional, this section is repealed.
  A. By October 1, 1994 the department of public safety shall establish an instant background check system to determine whether purchases, sales or transfers of handguns to any person violate any federal law or any law of this state prohibiting the possession of handguns.",,,,,,
AZ1003,Arizona,AZ,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
AZ1004,Arizona,AZ,Background checks for sales from dealers - long guns,Restrictive,Implement,11/30/1998,,11,30,1998,Ariz. Rev. Stat. § 13-3114,"If the Brady Handgun Violence Protection Act (P.L. 103-159) is repealed or if there is a final determination by court of
competent jurisdiction that the Brady Handgun Violence Protection Act is unconstitutional, this section is repealed,
Laws 1994, Ch. 184, § 5. Amended by Laws 1998, Ch. 249, § 1, effective November 30, 1998, by Laws 1998, § 2
A. The department of public safety shall establish an instant background check system. The department shall conduct
background checks to determine whether purchases, sales or transfers of firearms to any person violate any federal law
or any law of this state prohibiting the possession of firearms.
B. The instant background check system shall be known as the Arizona firearms clearance center. The firearms
clearance center shall establish procedures for providing information to licensed firearms dealers regarding whether a
purchaser or transferee is a felon, is a fugitive from justice or is disqualified from lawfully possessing a firearm by any
federal law or law of this state.",,,,,,
AZ1005,Arizona,AZ,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,10/1/1978,,10,1,1978,Ariz. Rev. Stat. § 13-3102(A),"A person commits misconduct involving weapons by knowingly:
1. Carrying a deadly weapon except a pocket knife concealed on his person",1,,,"Prior law prohibting concealed carry enacted before 1966. Carl Bakal, ""The Right to Bear Arms.""",,
AZ1006,Arizona,AZ,Carrying a concealed weapon (CCW) - shall issue,Permissive,Implement,4/14/1994,,4,14,1994,Ariz. Rev. Stat. § 13-3112,"E. The department of public safety shall issue a permit to an applicant who meets all of the following conditions:
1. Is a resident of this state.
2. Is twenty-one years of age or older.
3. Is not under indictment for and has not been convicted in any jurisdiction of a felony.
4. Does not suffer from mental illness and has not been adjudicated mentally incompetent or committed to a
mental institution.5. Is not unlawfully present in the United States.
6. Satisfactorily completes a firearms safety training program approved by the department of public safety
pursuant to subsection N of this section. This paragraph does not apply to a person who has honorably retired as a
federal, state or local peace officer with a minimum of ten years of service.",,,,,,
AZ1007,Arizona,AZ,Carrying a concealed weapon (CCW) - shall issue (permit not required),Permissive,Modify,7/29/2010,,7,29,2010,Ariz. Rev. Stat. § 13-3102(A),"A person commits misconduct involving weapons by knowingly:
     1. Carrying a deadly weapon except a pocket knife concealed on his person or within his immediate control in or on a means of transportation:
         (a) In the furtherance of a serious offense as defined in section 13-706, a violent crime as defined in section 13-901.03 or any other felony offense; or
         (b) When contacted by a law enforcement officer and failing to accurately answer the officer if the officer asks whether the person is carrying a concealed deadly weapon; or
     2. Carrying a deadly weapon except a pocket knife concealed on his person or concealed within his immediate control in or on a means of transportation if the person is under twenty-one years of age; or",,,,,,
AZ1008,Arizona,AZ,Castle Doctrine,Permissive,Implement,10/1/1978,,10,1,1978,"Laws 1977, Ch. 142, § 44. Sec. 13-408","A person is justified in using physical force against another when and to the extent that a reasonable person would believe it necessary to prevent what a reasonable person would believe is an attempt or commission by the other person of theft or criminal damage involving tangible movable property under his possession or control, but such person may use deadly physical force under these circumstances as provided in sections 13-405 and 13-411.",1,,,,,
AZ1009,Arizona,AZ,Castle Doctrine - Stand Your Ground,Permissive,Modify,4/24/2006,,4,24,2006,Ariz. Rev. Stat. Ann. § 13-411,"There is no duty to retreat before threatening or using physical force or deadly physical force justified by subsection A of this section….This section is not limited to the use or threatened use of physical or deadly physical force in a person's home, residence, place of business, land the person owns or leases, conveyance of any kind, or any other place in this state where a person has a right to be.",,,,,,
AZ1010,Arizona,AZ,Child access law,,,,,,,,,No CAP law,1,,,,,
AZ1011,Arizona,AZ,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
AZ1012,Arizona,AZ,Minimum age for youth possession - handguns and long guns,Restrictive,Implement,4/22/1993,,4,22,1993,Ariz. Rev. Stat. § 13-3111(A),"A. Except as provided in subsection B, an unemancipated person who is under eighteen years of age and who is unaccompanied by a parent, grandparent or guardian, or a certified hunter safety instructor or certified firearms safety instructor acting with the consent of the unemancipated person's parent or guardian, shall not knowingly carry or possess on his person, within his immediate control, or in or on a means of transportation a firearm in any place that is open to the public or on any street or highway or on any private property except private property owned or leased by the minor or the minor's parent, grandparent or guardian.",,18,,,,
AZ1013,Arizona,AZ,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
AZ1014,Arizona,AZ,Minimum purchase and sale age - handguns and long guns,Restrictive,Implement,4/1/1953,,4,1,1953,Ariz. Rev. Stat. § 13-3109(A),"Sale or gift of firearm to minor; classification A. Except as provided in subsection C of this section, a person who sells or gives to a minor, without written consent of the minor's parent or legal guardian, a firearm, ammunition or a toy pistol by which dangerous and explosive substances may be discharged is guilty of a class 6 felony.",1,18,,Ariz. Rev. Stat. § 1-215(21) defines minor as under 18.,,
AZ1015,Arizona,AZ,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
AZ1016,Arizona,AZ,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
AZ1017,Arizona,AZ,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
AZ1018,Arizona,AZ,Waiting period - handguns and long guns,,,,,,,,,No law imposing waiting period for purchase of handguns or long guns,1,,,,,G
AR1001,Arkansas,AR,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
AR1002,Arkansas,AR,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,,,1,1,1837,Ark. Stat. Ann. § 5-73-120(a),"A person commits the offense of carrying a weapon if he possesses a handgun, knife, or club on or about his person, in a vehicle occupied by him, or otherwise readily available for use with a purpose to employ it as a weapon against a person.",1,,,,,
AR1003,Arkansas,AR,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,2/23/1995,,2,23,1995,Ark. Code Ann. § 5-73-309,"
The Director of the Department of Arkansas State Police shall issue a license to carry a concealed handgun if the
applicant: [lists criteria (1) through (14)]",,,,,,
AR1004,Arkansas,AR,Castle Doctrine,Permissive,Implement,1/1/1975,"Not sure about day + month, so using January 1.",1,1,1975,Ark. Code Ann. § 5-2-607(b),"A person may not use deadly physical force in self-defense if the person knows that he or she can avoid the necessity of using deadly physical force:
(1)(A) By retreating.
(B) However, a person is not required to retreat if the person is:
(i) Unable to retreat with complete safety;",1,,,,,
AR1005,Arkansas,AR,Child access law,,,,,,,,,No CAP law,1,,,,,
AR1006,Arkansas,AR,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
AR1007,Arkansas,AR,Minimum age for youth possession - handguns,Restrictive,Implement,6/15/1989,,6,15,1989,Ark. Code Ann. § 5-73-119(a),No person in this state under eighteen (18) years of age shall possess a handgun.,,18,,,,
AR1008,Arkansas,AR,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
AR1009,Arkansas,AR,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,1,,,,,H
AR1010,Arkansas,AR,Minimum purchase and sale age - handguns and long guns,Restrictive,Implement,1/1/1976,,1,1,1976,Ark. Code Ann. § 5-73-109,"(a) A person commits the offense of furnishing a deadly weapon to a minor if he or she sells, barters, leases, gives, rents, or otherwise furnishes a firearm or other deadly weapon to a minor without the consent of a parent, guardian, or other person responsible for general supervision of the minor's welfare. (b)  (1) Furnishing a deadly weapon to a minor is a Class A misdemeanor. (2) However, furnishing a deadly weapon to a minor is a Class B felony if the deadly weapon is:  (A) A handgun",1,18,,"""Minor"" defined as under 18 by Ark. Code Ann. § 5-73-101.",,
AR1011,Arkansas,AR,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
AR1012,Arkansas,AR,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
AR1013,Arkansas,AR,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
CA1001,California,CA,Background Checks for private sales - handguns and long guns,Restrictive,Implement,1/1/1991,,1,1,1991,"Cal. Penal Code § 12072(d) (pre-2012); Cal. Penal Code §§ 27545, 28050 et seq. (post 2012)","§ 27545. Transaction where neither party holds a dealer's license
Where neither party to the transaction holds a dealer's license issued pursuant to Sections 26700 to 26915,
inclusive, the parties to the transaction shall complete the sale, loan, or transfer of that firearm through a licensed
firearms dealer pursuant to Chapter 5 (commencing with Section 28050).",,,,,,
CA1002,California,CA,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
CA1003,California,CA,Background checks for sales from dealers - handguns,Restrictive,Implement,8/31/1969,,8,31,1969,Cal. Penal Code § 12076,"From notes section of Lexis: '1990 Amendment (ch 177): (1) Amended subd (a) by (a) deleting ""capable of being concealed upon the person"" after ""of any firearm"" near the beginning; (b) adding ""and age"" after ""or her identity"" in the first sentence; and (c) adding ""or other information required to be provided for the register"" after ""incorrect birth date"" in the last sentence; (2) added the second paragraph of subd (b); (3) deleted ""pistol, revolver, or other"" after ""delivery of the"" in the last sentence of the second paragraph of subd (c); (4) substituted ""sufficient to reimburse both of the following: (1)"" for "", not to exceed the
actual processing costs of the department, sufficient to reimburse"" in subd (d); and (5) added subd (d)(2).'",1,,,"Lexis notes on history of law show it originally applied to handguns, rather than firearms in general.",,
CA1004,California,CA,Background checks for sales from dealers - handguns and long guns,Restrictive,Modify,1/1/2012,,1,1,2012,Cal Penal Code § 28220,"(a) Upon submission of firearm purchaser information, the Department of Justice shall examine its records, as well as those records that it is authorized to request from the State Department of State Hospitals pursuant to Section 8104 of the Welfare and Institutions Code, in order to determine if the purchaser is a person described in subdivision (a) of Section 27535, or is prohibited by state or federal law from possessing, receiving, owning, or purchasing a firearm.
(b) To the extent that funding is available, the Department of Justice may participate in the National Instant Criminal Background Check System (NICS), as described in subsection (t) of Section 922 of Title 18 of the United States Code, and, if that participation is implemented, shall notify the dealer and the chief of the police department of the city or city and county in which the sale was made, or if the sale was made in a district in which there is no municipal police department, the sheriff of the county in which the sale was made, that the purchaser is a person prohibited from acquiring a firearm under federal law.",,,,,,
CA1005,California,CA,Background checks for sales from dealers - long guns,Restrictive,Implement,1/1/1991,,1,1,1991,Cal. Penal Code § 12076,"(c) The department shall examine its records, as well as those records that it is authorized to request from the State Department of Mental Health pursuant to Section 8104 of the Welfare and Institutions Code, in order to determine if the purchaser or transferee is a person described in Section 12021 or 12021.1 of this code or Section 8100 or 8103 of the Welfare and Institutions Code.

If the department determines that the purchaser or transferee is a person described in Section 12021 or 12021.1 of this code or Section 8100 or 8103 of the Welfare and Institutions Code, it shall immediately notify the dealer and the chief of the police department of the city or county in which the sale or transfer was made, or if the sale or transfer was made in a district in which there is no municipal police department, the sheriff of the county in which the sale or transfer was made, of that fact.
",,,,,,
CA1006,California,CA,Background checks for sales from dealers - long guns,,,,,,,,,No law requiring background checks for sales from dealers of long guns,1,,,,,
CA1007,California,CA,Carrying a concealed weapon (CCW) - may issue,Permissive,Implement,1/1/1953,"Not sure about day + month, so using January 1.",1,1,1953,Before 2012: Cal. Penal Code § 12050; after 2012: Cal Penal Code § 25400 (crime of carrying concealed weapon); licensing covered by Cal Penal Code § 26150 et seq.,"§ 26150.  License to carry concealed weapon; Issuance by sheriff
(a) When a person applies for a license to carry a pistol, revolver, or other firearm capable of being concealed upon the person, the sheriff of a county may issue a license to that person upon proof of all of the following:
 (1) The applicant is of good moral character.
 (2) Good cause exists for issuance of the license.
 (3) The applicant is a resident of the county or a city within the county, or the applicant's principal place of employment or business is in the county or a city within the county and the applicant spends a substantial period of time in that place of employment or business.
 (4) The applicant has completed a course of training as described in Section 26165.
",1,,,,,
CA1008,California,CA,Castle Doctrine,Permissive,Implement,1/1/1985,,1,1,1985,Cal. Penal Code § 198.5,"Any person using force intended or likely to cause death or great bodily injury within his or her residence shall be presumed to have held a reasonable fear of imminent peril of death or great bodily injury to self, family, or a member of the household when that force is used against another person, not a member of the family or household, who unlawfully and forcibly enters or has unlawfully and forcibly entered the residence and the person using the force knew or had reason to believe that an unlawful and forcible entry occurred.",,,,,,
CA1009,California,CA,Castle Doctrine,,,,,,,,,Common Law Castle Doctrine,1,,,"See Catalfamo (2007), p. 509.",,
CA1010,California,CA,Child access law,,,,,,,,,No CAP law,1,,,,,
CA1011,California,CA,Child access laws - negligent storage (CAP),Restrictive,Implement,1/1/1992,,1,1,1992,"Cal Pen Code § 12035(b),(d)","(1) Except as provided in subdivision (c), a person commits the crime of ""criminal storage of a firearm of the first degree"" if he or she keeps any loaded firearm within any premise which is under his or her custody or control and he or she knows or reasonably should know that a child is likely to gain access to the firearm without the permission of the child's parent or legal guardian and the child obtains access to the firearm and thereby causes death or great bodily injury to himself, herself, or any other person.
(2) Except as provided in subdivision (c), a person commits the crime of ""criminal storage of a firearm of the second degree"" if he or she keeps any loaded firearm within any premise which is under his or her custody or control and he or she knows or reasonably should know that a child is likely to gain access to the firearm without the permission of the child's parent or legal guardian and the child obtains access to the firearm and thereby causes injury, other than great bodily injury, to himself, herself, or any other person, or exhibits the firearm either in a public place or in violation of Section 417.
(c) Subdivision (b) shall not apply whenever any of the following occurs:
(1) The child obtains the firearm as a result of an illegal entry to any premises by any person.
(2) The firearm is kept in a locked container or in a location which a reasonable person would believe to be secure.
(3) The firearm is carried on the person or within such a close proximity thereto so that the individual can readily retrieve and use the firearm as if carried on the person.
(4) The firearm is equipped with a locking device.
(5) The person is a peace officer or a member of the armed forces or national guard and the child obtains the firearm during, or incidental to, the performance of the person's duties.
(6) The child obtains, or obtains and discharges, the firearm in a lawful act of self-defense or defense of another person, or persons.
(7) The person who keeps a loaded firearm on any premise which is under his or her custody or control has no reasonable expectation, based on objective facts and circumstances, that a child is likely to be present on the premise.",,,,,,
